Timestamp,Connector_ID,Status,Error_Code,Label
2025-12-11T21:59:10+00:00,1,Available,NoError,normal
2025-12-11T21:59:10+00:00,1,Available,NoError,normal
2025-12-11T21:59:10+00:00,1,Available,NoError,normal
2025-12-11T21:59:10+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Available,NoError,normal
2025-12-11T21:59:11+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:11+00:00,1,Charging,NoError,normal
2025-12-11T21:59:11+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:11+00:00,1,Charging,NoError,normal
2025-12-11T21:59:11+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T21:59:12+00:00,1,Preparing,NoError,normal
2025-12-11T21:59:12+00:00,1,Charging,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
2025-12-11T22:00:14+00:00,1,Finishing,NoError,normal
2025-12-11T22:00:14+00:00,1,Available,NoError,normal
