timestamp,charge_point_id,scenario,mode,step,message_type,transaction_id,connector_id,id_tag,power_kw,current_a,voltage_v,soc_percent,label,raw_payload
2025-12-15T17:25:12.935847,CP_005,uzaktan_komut_taklidi,attack,1,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_005"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:12.935847""}"
2025-12-15T17:25:12.936205,CP_001,uzaktan_komut_taklidi,attack,2,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:12.936205""}"
2025-12-15T17:25:12.938740,CP_004,uzaktan_komut_taklidi,attack,3,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_004"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:12.938740""}"
2025-12-15T17:25:12.939193,CP_002,uzaktan_komut_taklidi,attack,4,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_002"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:12.939193""}"
2025-12-15T17:25:12.939489,CP_003,uzaktan_komut_taklidi,attack,5,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_003"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:12.939489""}"
2025-12-15T17:25:15.492126,CP_009,uzaktan_komut_taklidi,attack,6,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_009"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:15.492126""}"
2025-12-15T17:25:15.492388,CP_006,uzaktan_komut_taklidi,attack,7,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_006"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:15.492388""}"
2025-12-15T17:25:15.493138,CP_010,uzaktan_komut_taklidi,attack,8,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_010"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:15.493138""}"
2025-12-15T17:25:15.493832,CP_008,uzaktan_komut_taklidi,attack,9,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_008"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:15.493832""}"
2025-12-15T17:25:15.494153,CP_007,uzaktan_komut_taklidi,attack,10,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_007"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-15T17:25:15.494153""}"
