timestamp,charge_point_id,scenario,mode,step,message_type,transaction_id,connector_id,id_tag,power_kw,current_a,voltage_v,soc_percent,label,raw_payload
2025-12-07T16:57:04.486824,CP_001,dalgali_yuk,attack,1,BootNotification,,,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-07T16:57:04.486824""}"
2025-12-07T16:57:04+00:00,CP_001,dalgali_yuk,attack,2,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-07T16:57:04+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-07T16:57:04.640760,CP_001,dalgali_yuk,attack,3,Authorize,,,YUNUS_TAG,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""id_tag"": ""YUNUS_TAG"", ""status"": ""Accepted"", ""authorized"": true, ""timestamp"": ""2025-12-07T16:57:04.640760"", ""message_type"": ""Authorize""}"
2025-12-07T16:57:04+00:00,CP_001,dalgali_yuk,attack,4,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Preparing"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-07T16:57:04+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-07T16:57:04+00:00,CP_001,dalgali_yuk,attack,5,StartTransaction,1,1,YUNUS_TAG,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""id_tag"": ""YUNUS_TAG"", ""meter_start"": 0, ""timestamp"": ""2025-12-07T16:57:04+00:00"", ""transaction_id"": 1, ""authorized"": true, ""payload"": {}, ""message_type"": ""StartTransaction""}"
2025-12-07T16:57:04+00:00,CP_001,dalgali_yuk,attack,6,StatusNotification,,1,,,,,,attack_meta,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Charging"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-07T16:57:04+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-07T16:57:04.806013,CP_001,dalgali_yuk,attack,7,MeterValues,1,1,,9.592,23.981,400.0,20.0,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:04+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""23.981"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""9.592"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.00"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:04.806013""}"
2025-12-07T16:57:05.831325,CP_001,dalgali_yuk,attack,8,MeterValues,1,1,,7.227,18.068,400.0,20.01,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:05+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""18.068"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""7.227"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.01"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:05.831325""}"
2025-12-07T16:57:06.848266,CP_001,dalgali_yuk,attack,9,MeterValues,1,1,,4.259,10.647,400.0,20.01,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:06+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""10.647"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""4.259"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.01"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:06.848266""}"
2025-12-07T16:57:07.869446,CP_001,dalgali_yuk,attack,10,MeterValues,1,1,,6.514,16.285,400.0,20.01,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:07+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""16.285"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""6.514"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.01"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:07.869446""}"
2025-12-07T16:57:08.893202,CP_001,dalgali_yuk,attack,11,MeterValues,1,1,,9.868,24.67,400.0,20.02,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:08+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""24.670"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""9.868"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.02"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:08.893202""}"
2025-12-07T16:57:09.907529,CP_001,dalgali_yuk,attack,12,MeterValues,1,1,,7.259,18.147,400.0,20.02,oscillatory_load_attack,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-07T16:57:09+00:00"", ""sampled_value"": [{""value"": ""400.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""18.147"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""7.259"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.02"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-07T16:57:09.907529""}"
