Timestamp,CP_ID,Message_Type,Label
2025-12-11T21:57:31.922890,CP_005,BootNotification,normal
2025-12-11T21:57:31.937409,CP_003,BootNotification,normal
2025-12-11T21:57:31.938055,CP_001,BootNotification,normal
2025-12-11T21:57:31.938415,CP_002,BootNotification,normal
2025-12-11T21:57:31.938881,CP_004,BootNotification,normal
2025-12-11T21:57:34.483047,CP_009,BootNotification,normal
2025-12-11T21:57:34.484215,CP_008,BootNotification,normal
2025-12-11T21:57:34.484790,CP_006,BootNotification,normal
2025-12-11T21:57:34.485749,CP_010,BootNotification,normal
2025-12-11T21:57:34.487015,CP_007,BootNotification,normal
2025-12-11T21:57:34+00:00,CP_001,StatusNotification,normal
2025-12-11T21:57:34+00:00,CP_002,StatusNotification,normal
2025-12-11T21:57:34+00:00,CP_003,StatusNotification,normal
2025-12-11T21:57:34+00:00,CP_004,StatusNotification,normal
2025-12-11T21:57:34+00:00,CP_005,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_006,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_007,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_008,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_009,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_010,StatusNotification,normal
2025-12-11T21:57:35.616037,CP_001,Authorize,normal
2025-12-11T21:57:35+00:00,CP_001,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_001,StartTransaction,normal
2025-12-11T21:57:35+00:00,CP_001,StatusNotification,normal
2025-12-11T21:57:35.731925,CP_002,Authorize,normal
2025-12-11T21:57:35+00:00,CP_002,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_002,StartTransaction,normal
2025-12-11T21:57:35+00:00,CP_002,StatusNotification,normal
2025-12-11T21:57:35.843371,CP_003,Authorize,normal
2025-12-11T21:57:35+00:00,CP_003,StatusNotification,normal
2025-12-11T21:57:35+00:00,CP_003,StartTransaction,normal
2025-12-11T21:57:35+00:00,CP_003,StatusNotification,normal
2025-12-11T21:57:35.954900,CP_004,Authorize,normal
2025-12-11T21:57:35+00:00,CP_004,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_004,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_004,StatusNotification,normal
2025-12-11T21:57:36.071252,CP_005,Authorize,normal
2025-12-11T21:57:36+00:00,CP_005,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_005,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_005,StatusNotification,normal
2025-12-11T21:57:36.182188,CP_006,Authorize,normal
2025-12-11T21:57:36+00:00,CP_006,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_006,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_006,StatusNotification,normal
2025-12-11T21:57:36.292416,CP_007,Authorize,normal
2025-12-11T21:57:36+00:00,CP_007,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_007,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_007,StatusNotification,normal
2025-12-11T21:57:36.405000,CP_008,Authorize,normal
2025-12-11T21:57:36+00:00,CP_008,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_008,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_008,StatusNotification,normal
2025-12-11T21:57:36.522635,CP_009,Authorize,normal
2025-12-11T21:57:36+00:00,CP_009,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_009,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_009,StatusNotification,normal
2025-12-11T21:57:36.637641,CP_010,Authorize,normal
2025-12-11T21:57:36+00:00,CP_010,StatusNotification,normal
2025-12-11T21:57:36+00:00,CP_010,StartTransaction,normal
2025-12-11T21:57:36+00:00,CP_010,StatusNotification,normal
2025-12-11T21:57:36.758105,CP_001,MeterValues,normal
2025-12-11T21:57:36.760206,CP_002,MeterValues,normal
2025-12-11T21:57:36.762337,CP_003,MeterValues,normal
2025-12-11T21:57:36.765635,CP_004,MeterValues,normal
2025-12-11T21:57:36.767295,CP_005,MeterValues,normal
2025-12-11T21:57:36.769956,CP_006,MeterValues,normal
2025-12-11T21:57:36.772067,CP_007,MeterValues,normal
2025-12-11T21:57:36.773799,CP_008,MeterValues,normal
2025-12-11T21:57:36.775857,CP_009,MeterValues,normal
2025-12-11T21:57:36.778180,CP_010,MeterValues,normal
2025-12-11T21:57:37.791753,CP_001,MeterValues,normal
2025-12-11T21:57:37.793414,CP_002,MeterValues,normal
2025-12-11T21:57:37.794902,CP_003,MeterValues,normal
2025-12-11T21:57:37.797228,CP_004,MeterValues,normal
2025-12-11T21:57:37.799659,CP_005,MeterValues,normal
2025-12-11T21:57:37.801513,CP_006,MeterValues,normal
2025-12-11T21:57:37.804309,CP_007,MeterValues,normal
2025-12-11T21:57:37.806277,CP_008,MeterValues,normal
2025-12-11T21:57:37.807819,CP_009,MeterValues,normal
2025-12-11T21:57:37.809927,CP_010,MeterValues,normal
2025-12-11T21:57:38.820283,CP_001,MeterValues,normal
2025-12-11T21:57:38.822211,CP_002,MeterValues,normal
2025-12-11T21:57:38.823981,CP_003,MeterValues,normal
2025-12-11T21:57:38.825581,CP_004,MeterValues,normal
2025-12-11T21:57:38.827349,CP_005,MeterValues,normal
2025-12-11T21:57:38.828882,CP_006,MeterValues,normal
2025-12-11T21:57:38.831998,CP_007,MeterValues,normal
2025-12-11T21:57:38.835197,CP_008,MeterValues,normal
2025-12-11T21:57:38.837994,CP_009,MeterValues,normal
2025-12-11T21:57:38.840409,CP_010,MeterValues,normal
2025-12-11T21:57:39.847013,CP_001,MeterValues,normal
2025-12-11T21:57:39.849042,CP_002,MeterValues,normal
2025-12-11T21:57:39.851355,CP_003,MeterValues,normal
2025-12-11T21:57:39.853076,CP_004,MeterValues,normal
2025-12-11T21:57:39.854496,CP_005,MeterValues,normal
2025-12-11T21:57:39.856092,CP_006,MeterValues,normal
2025-12-11T21:57:39.858414,CP_007,MeterValues,normal
2025-12-11T21:57:39.860618,CP_008,MeterValues,normal
2025-12-11T21:57:39.862488,CP_009,MeterValues,normal
2025-12-11T21:57:39.864174,CP_010,MeterValues,normal
2025-12-11T21:57:40.881106,CP_001,MeterValues,normal
2025-12-11T21:57:40.883013,CP_002,MeterValues,normal
2025-12-11T21:57:40.884840,CP_003,MeterValues,normal
2025-12-11T21:57:40.886958,CP_004,MeterValues,normal
2025-12-11T21:57:40.888489,CP_005,MeterValues,normal
2025-12-11T21:57:40.890298,CP_006,MeterValues,normal
2025-12-11T21:57:40.892314,CP_007,MeterValues,normal
2025-12-11T21:57:40.894533,CP_008,MeterValues,normal
2025-12-11T21:57:40.896406,CP_009,MeterValues,normal
2025-12-11T21:57:40.897874,CP_010,MeterValues,normal
2025-12-11T21:57:41.910112,CP_001,MeterValues,normal
2025-12-11T21:57:41.911827,CP_002,MeterValues,normal
2025-12-11T21:57:41.914661,CP_003,MeterValues,normal
2025-12-11T21:57:41.916370,CP_004,MeterValues,normal
2025-12-11T21:57:41.918478,CP_005,MeterValues,normal
2025-12-11T21:57:41.921593,CP_006,MeterValues,normal
2025-12-11T21:57:41.923889,CP_007,MeterValues,normal
2025-12-11T21:57:41.925815,CP_008,MeterValues,normal
2025-12-11T21:57:41.928510,CP_009,MeterValues,normal
2025-12-11T21:57:41.930179,CP_010,MeterValues,normal
2025-12-11T21:57:41.951921,CP_002,Heartbeat,normal
2025-12-11T21:57:41.952152,CP_004,Heartbeat,normal
2025-12-11T21:57:41.952244,CP_001,Heartbeat,normal
2025-12-11T21:57:41.952433,CP_003,Heartbeat,normal
2025-12-11T21:57:41.952510,CP_005,Heartbeat,normal
2025-12-11T21:57:42.947496,CP_001,MeterValues,normal
2025-12-11T21:57:42.950216,CP_002,MeterValues,normal
2025-12-11T21:57:42.953057,CP_003,MeterValues,normal
2025-12-11T21:57:42.955543,CP_004,MeterValues,normal
2025-12-11T21:57:42.957731,CP_005,MeterValues,normal
2025-12-11T21:57:42.959460,CP_006,MeterValues,normal
2025-12-11T21:57:42.962066,CP_007,MeterValues,normal
2025-12-11T21:57:42.965870,CP_008,MeterValues,normal
2025-12-11T21:57:42.969726,CP_009,MeterValues,normal
