timestamp,cp_id,message_type,raw_payload
2025-12-27T14:46:38.673502,CP_001,BootNotification,"{""cp_id"": ""CP_001"", ""vendor"": ""AegisChargeSim"", ""model"": ""SimulatedModel"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-27T14:46:38.673502""}"
2025-12-27T14:46:38+00:00,CP_001,StatusNotification,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Available"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-27T14:46:38+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-27T14:46:38.778452,CP_001,Authorize,"{""cp_id"": ""CP_001"", ""id_tag"": ""YUNUS_TAG"", ""status"": ""Accepted"", ""authorized"": true, ""timestamp"": ""2025-12-27T14:46:38.778452"", ""message_type"": ""Authorize""}"
2025-12-27T14:46:38+00:00,CP_001,StatusNotification,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Preparing"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-27T14:46:38+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-27T14:46:38+00:00,CP_001,StartTransaction,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""id_tag"": ""YUNUS_TAG"", ""meter_start"": 0, ""timestamp"": ""2025-12-27T14:46:38+00:00"", ""transaction_id"": 1, ""authorized"": true, ""payload"": {}, ""message_type"": ""StartTransaction""}"
2025-12-27T14:46:38+00:00,CP_001,StatusNotification,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Charging"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-27T14:46:38+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-27T14:46:38.886107,CP_001,MeterValues,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-27T14:46:38+00:00"", ""sampled_value"": [{""value"": ""232.51"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""47.650"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""11.079"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.01"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-27T14:46:38.886107""}"
2025-12-27T14:46:39.890111,CP_001,MeterValues,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-27T14:46:39+00:00"", ""sampled_value"": [{""value"": ""161.00"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""71.360"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""11.489"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.01"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-27T14:46:39.890111""}"
2025-12-27T14:46:40.894269,CP_001,MeterValues,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-27T14:46:40+00:00"", ""sampled_value"": [{""value"": ""228.49"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""47.400"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""10.830"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.02"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-27T14:46:40.894269""}"
2025-12-27T14:46:41.898960,CP_001,MeterValues,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-27T14:46:41+00:00"", ""sampled_value"": [{""value"": ""232.55"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""46.361"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""10.781"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.02"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-27T14:46:41.898960""}"
2025-12-27T14:46:42.903073,CP_001,MeterValues,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-27T14:46:42+00:00"", ""sampled_value"": [{""value"": ""232.27"", ""measurand"": ""Voltage"", ""unit"": ""V""}, {""value"": ""46.803"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""10.871"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""20.03"", ""measurand"": ""SoC"", ""unit"": ""Percent""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-27T14:46:42.903073""}"
2025-12-27T14:46:43+00:00,CP_001,StatusNotification,"{""cp_id"": ""CP_001"", ""connector_id"": 1, ""status"": ""Finishing"", ""error_code"": ""NoError"", ""timestamp"": ""2025-12-27T14:46:43+00:00"", ""payload"": {}, ""message_type"": ""StatusNotification""}"
2025-12-27T14:46:43+00:00,CP_001,StopTransaction,"{""cp_id"": ""CP_001"", ""transaction_id"": 1, ""meter_stop"": 0, ""timestamp"": ""2025-12-27T14:46:43+00:00"", ""payload"": {}, ""message_type"": ""StopTransaction""}"
