timestamp,charge_point_id,scenario,mode,step,message_type,transaction_id,connector_id,id_tag,power_kw,current_a,voltage_v,label,raw_payload
2025-12-03T19:12:53.219583,CP001,dalgali_yuk,normal,1,BootNotification,,,,,,,normal,"{""cp_id"": ""CP001"", ""vendor"": ""BSG-Team"", ""model"": ""BSG-Simulated-CP"", ""payload"": {}, ""message_type"": ""BootNotification"", ""timestamp"": ""2025-12-03T19:12:53.219583"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:53.238161,CP001,dalgali_yuk,normal,2,Authorize,,,TAG123,,,,normal,"{""cp_id"": ""CP001"", ""id_tag"": ""TAG123"", ""payload"": {}, ""message_type"": ""Authorize"", ""timestamp"": ""2025-12-03T19:12:53.238161"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:53.252827+00:00,CP001,dalgali_yuk,normal,3,StartTransaction,1,1,TAG123,,,,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""id_tag"": ""TAG123"", ""tx_id"": 1, ""meter_start"": 0, ""timestamp"": ""2025-12-03T19:12:53.252827+00:00"", ""payload"": {}, ""message_type"": ""StartTransaction"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:53.268623,CP001,dalgali_yuk,normal,4,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:53.263410+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:53.268623"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:53.790342,CP001,dalgali_yuk,normal,5,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:53.782498+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:53.790342"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:54.310008,CP001,dalgali_yuk,normal,6,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:54.302610+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:54.310008"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:54.831309,CP001,dalgali_yuk,normal,7,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:54.828944+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:54.831309"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:55.347981,CP001,dalgali_yuk,normal,8,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:55.340492+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:55.347981"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:55.862487,CP001,dalgali_yuk,normal,9,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:55.854728+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:55.862487"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:56.381452,CP001,dalgali_yuk,normal,10,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:56.373758+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:56.381452"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:56.903925,CP001,dalgali_yuk,normal,11,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:56.901862+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:56.903925"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:57.414140,CP001,dalgali_yuk,normal,12,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:57.406776+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:57.414140"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:57.928487,CP001,dalgali_yuk,normal,13,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:57.923310+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:57.928487"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:58.453163,CP001,dalgali_yuk,normal,14,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:58.445533+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:58.453163"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:58.979150,CP001,dalgali_yuk,normal,15,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:58.971738+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:58.979150"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:12:59.503969,CP001,dalgali_yuk,normal,16,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:12:59.499022+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:12:59.503969"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:13:00.021527,CP001,dalgali_yuk,normal,17,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:13:00.019578+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:13:00.021527"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:13:00.524544,CP001,dalgali_yuk,normal,18,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:13:00.522947+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:13:00.524544"", ""charge_point_id"": ""CP001""}"
2025-12-03T19:13:01.037994,CP001,dalgali_yuk,normal,19,MeterValues,1,1,,7.0,31.5,380.0,normal,"{""cp_id"": ""CP001"", ""connector_id"": 1, ""meter_value"": [{""timestamp"": ""2025-12-03T19:13:01.030001+00:00"", ""sampled_value"": [{""value"": ""7.0"", ""measurand"": ""Power.Active.Import"", ""unit"": ""kW""}, {""value"": ""31.5"", ""measurand"": ""Current.Import"", ""unit"": ""A""}, {""value"": ""380.0"", ""measurand"": ""Voltage"", ""unit"": ""V""}]}], ""transaction_id"": 1, ""payload"": {}, ""message_type"": ""MeterValues"", ""timestamp"": ""2025-12-03T19:13:01.037994"", ""charge_point_id"": ""CP001""}"
