Timestamp,Transaction_ID,Voltage,Current_Import,Power_Import,SoC,Label
2025-12-11T22:03:51.637051,1,400.0,17.798,7.119,20.0,sfed_attack
2025-12-11T22:03:51.639647,1,400.0,17.533,7.013,20.0,sfed_attack
2025-12-11T22:03:51.641913,1,400.0,17.407,6.963,20.0,sfed_attack
2025-12-11T22:03:51.643820,1,400.0,18.232,7.293,20.0,sfed_attack
2025-12-11T22:03:51.646031,1,400.0,17.576,7.03,20.0,sfed_attack
2025-12-11T22:03:51.648003,1,400.0,17.985,7.194,20.0,sfed_attack
2025-12-11T22:03:51.649740,1,400.0,17.157,6.863,20.0,sfed_attack
2025-12-11T22:03:51.651749,1,400.0,17.916,7.167,20.0,sfed_attack
2025-12-11T22:03:51.655242,1,400.0,17.888,7.155,20.0,sfed_attack
2025-12-11T22:03:51.657095,1,400.0,18.216,7.286,20.0,sfed_attack
2025-12-11T22:03:52.667851,1,400.0,17.463,6.985,20.01,sfed_attack
2025-12-11T22:03:52.669391,1,400.0,17.946,7.178,20.01,sfed_attack
2025-12-11T22:03:52.670837,1,400.0,17.759,7.104,20.01,sfed_attack
2025-12-11T22:03:52.673021,1,400.0,18.038,7.215,20.01,sfed_attack
2025-12-11T22:03:52.674768,1,400.0,17.193,6.877,20.01,sfed_attack
2025-12-11T22:03:52.676940,1,400.0,17.171,6.868,20.01,sfed_attack
2025-12-11T22:03:52.678959,1,400.0,17.882,7.153,20.01,sfed_attack
2025-12-11T22:03:52.681359,1,400.0,17.457,6.983,20.01,sfed_attack
2025-12-11T22:03:52.683046,1,400.0,18.05,7.22,20.01,sfed_attack
2025-12-11T22:03:52.684750,1,400.0,17.335,6.934,20.01,sfed_attack
2025-12-11T22:03:53.687864,1,400.0,17.136,6.855,20.01,sfed_attack
2025-12-11T22:03:53.690210,1,400.0,18.228,7.291,20.01,sfed_attack
2025-12-11T22:03:53.691777,1,400.0,17.542,7.017,20.01,sfed_attack
2025-12-11T22:03:53.694157,1,400.0,17.469,6.988,20.01,sfed_attack
2025-12-11T22:03:53.695784,1,400.0,17.476,6.99,20.01,sfed_attack
2025-12-11T22:03:53.697735,1,400.0,17.856,7.142,20.01,sfed_attack
2025-12-11T22:03:53.699964,1,400.0,17.42,6.968,20.01,sfed_attack
2025-12-11T22:03:53.702784,1,400.0,18.26,7.304,20.01,sfed_attack
2025-12-11T22:03:53.705663,1,400.0,17.781,7.112,20.01,sfed_attack
2025-12-11T22:03:53.708078,1,400.0,17.684,7.074,20.01,sfed_attack
2025-12-11T22:03:54.716359,1,400.0,17.997,7.199,20.01,sfed_attack
2025-12-11T22:03:54.718088,1,400.0,17.606,7.042,20.01,sfed_attack
2025-12-11T22:03:54.719700,1,400.0,17.809,7.124,20.01,sfed_attack
2025-12-11T22:03:54.722754,1,400.0,18.013,7.205,20.01,sfed_attack
2025-12-11T22:03:54.725978,1,400.0,17.641,7.057,20.01,sfed_attack
2025-12-11T22:03:54.728855,1,400.0,17.854,7.142,20.01,sfed_attack
2025-12-11T22:03:54.731421,1,400.0,17.711,7.084,20.01,sfed_attack
2025-12-11T22:03:54.734216,1,400.0,17.746,7.098,20.01,sfed_attack
2025-12-11T22:03:54.737809,1,400.0,17.997,7.199,20.01,sfed_attack
2025-12-11T22:03:54.742674,1,400.0,17.919,7.168,20.01,sfed_attack
2025-12-11T22:03:55.761027,1,400.0,17.308,6.923,20.02,sfed_attack
2025-12-11T22:03:55.763416,1,400.0,17.718,7.087,20.02,sfed_attack
2025-12-11T22:03:55.765035,1,400.0,17.883,7.153,20.02,sfed_attack
2025-12-11T22:03:55.766734,1,400.0,17.746,7.098,20.02,sfed_attack
2025-12-11T22:03:55.768510,1,400.0,17.309,6.924,20.02,sfed_attack
2025-12-11T22:03:55.770959,1,400.0,17.844,7.138,20.02,sfed_attack
2025-12-11T22:03:55.774134,1,400.0,17.506,7.003,20.02,sfed_attack
2025-12-11T22:03:55.776533,1,400.0,17.739,7.095,20.02,sfed_attack
2025-12-11T22:03:55.778485,1,400.0,17.402,6.961,20.02,sfed_attack
2025-12-11T22:03:55.780198,1,400.0,17.374,6.949,20.02,sfed_attack
2025-12-11T22:03:56.791961,1,400.0,17.743,7.097,20.02,sfed_attack
2025-12-11T22:03:56.793569,1,400.0,17.368,6.947,20.02,sfed_attack
2025-12-11T22:03:56.795064,1,400.0,17.961,7.185,20.02,sfed_attack
2025-12-11T22:03:56.797305,1,400.0,17.547,7.019,20.02,sfed_attack
2025-12-11T22:03:56.798852,1,400.0,17.14,6.856,20.02,sfed_attack
2025-12-11T22:03:56.800618,1,400.0,17.539,7.016,20.02,sfed_attack
2025-12-11T22:03:56.802438,1,400.0,17.409,6.963,20.02,sfed_attack
2025-12-11T22:03:56.804859,1,400.0,17.307,6.923,20.02,sfed_attack
2025-12-11T22:03:56.807038,1,400.0,18.147,7.259,20.02,sfed_attack
2025-12-11T22:03:56.808761,1,400.0,17.958,7.183,20.02,sfed_attack
2025-12-11T22:03:57.820386,1,400.0,17.583,7.033,20.02,sfed_attack
2025-12-11T22:03:57.822671,1,400.0,17.705,7.082,20.02,sfed_attack
2025-12-11T22:03:57.824834,1,400.0,17.423,6.969,20.02,sfed_attack
2025-12-11T22:03:57.826525,1,400.0,17.721,7.088,20.02,sfed_attack
2025-12-11T22:03:57.828233,1,400.0,17.929,7.171,20.02,sfed_attack
2025-12-11T22:03:57.829891,1,400.0,17.216,6.886,20.02,sfed_attack
2025-12-11T22:03:57.832925,1,400.0,17.992,7.197,20.02,sfed_attack
2025-12-11T22:03:57.835006,1,400.0,17.792,7.117,20.02,sfed_attack
2025-12-11T22:03:57.836547,1,400.0,17.891,7.156,20.02,sfed_attack
2025-12-11T22:03:57.838860,1,400.0,18.032,7.213,20.02,sfed_attack
2025-12-11T22:03:58.855672,1,400.0,17.163,6.865,20.03,sfed_attack
2025-12-11T22:03:58.857975,1,400.0,17.462,6.985,20.03,sfed_attack
2025-12-11T22:03:58.860791,1,400.0,17.4,6.96,20.03,sfed_attack
2025-12-11T22:03:58.862791,1,400.0,17.271,6.909,20.03,sfed_attack
2025-12-11T22:03:58.864396,1,400.0,17.112,6.845,20.03,sfed_attack
2025-12-11T22:03:58.866810,1,400.0,17.4,6.96,20.03,sfed_attack
2025-12-11T22:03:58.868978,1,400.0,17.239,6.895,20.03,sfed_attack
2025-12-11T22:03:58.871917,1,400.0,18.291,7.317,20.03,sfed_attack
2025-12-11T22:03:58.874753,1,400.0,17.355,6.942,20.03,sfed_attack
2025-12-11T22:03:58.876804,1,400.0,17.909,7.164,20.03,sfed_attack
2025-12-11T22:03:59.880849,1,400.0,17.404,6.962,20.03,sfed_attack
2025-12-11T22:03:59.882580,1,400.0,17.938,7.175,20.03,sfed_attack
2025-12-11T22:03:59.884063,1,400.0,17.308,6.923,20.03,sfed_attack
2025-12-11T22:03:59.885689,1,400.0,17.512,7.005,20.03,sfed_attack
2025-12-11T22:03:59.888373,1,400.0,18.02,7.208,20.03,sfed_attack
2025-12-11T22:03:59.891226,1,400.0,17.645,7.058,20.03,sfed_attack
2025-12-11T22:03:59.893979,1,400.0,17.312,6.925,20.03,sfed_attack
2025-12-11T22:03:59.896033,1,400.0,17.741,7.096,20.03,sfed_attack
2025-12-11T22:03:59.897641,1,400.0,17.796,7.119,20.03,sfed_attack
2025-12-11T22:03:59.899045,1,400.0,17.989,7.195,20.03,sfed_attack
2025-12-11T22:04:00.906957,1,400.0,17.867,7.147,20.03,sfed_attack
2025-12-11T22:04:00.908876,1,400.0,18.112,7.245,20.03,sfed_attack
2025-12-11T22:04:00.910333,1,400.0,17.307,6.923,20.03,sfed_attack
2025-12-11T22:04:00.911808,1,400.0,18.029,7.212,20.03,sfed_attack
2025-12-11T22:04:00.913242,1,400.0,17.982,7.193,20.03,sfed_attack
2025-12-11T22:04:00.916094,1,400.0,17.88,7.152,20.03,sfed_attack
2025-12-11T22:04:00.918284,1,400.0,17.74,7.096,20.03,sfed_attack
2025-12-11T22:04:00.920131,1,400.0,17.661,7.064,20.03,sfed_attack
2025-12-11T22:04:00.922891,1,400.0,17.483,6.993,20.03,sfed_attack
2025-12-11T22:04:00.925234,1,400.0,17.984,7.193,20.03,sfed_attack
2025-12-11T22:04:01.937713,1,400.0,18.02,7.208,20.04,sfed_attack
2025-12-11T22:04:01.939859,1,400.0,17.342,6.937,20.04,sfed_attack
2025-12-11T22:04:01.941919,1,400.0,17.263,6.905,20.04,sfed_attack
2025-12-11T22:04:01.943767,1,400.0,17.927,7.171,20.04,sfed_attack
2025-12-11T22:04:01.945318,1,400.0,17.939,7.176,20.04,sfed_attack
2025-12-11T22:04:01.946904,1,400.0,18.026,7.211,20.04,sfed_attack
2025-12-11T22:04:01.949215,1,400.0,17.681,7.072,20.04,sfed_attack
2025-12-11T22:04:01.952176,1,400.0,17.692,7.077,20.04,sfed_attack
2025-12-11T22:04:01.953818,1,400.0,17.501,7.0,20.04,sfed_attack
2025-12-11T22:04:01.955523,1,400.0,17.43,6.972,20.04,sfed_attack
2025-12-11T22:04:02.959166,1,400.0,17.968,7.187,20.04,sfed_attack
2025-12-11T22:04:02.961083,1,400.0,17.595,7.038,20.04,sfed_attack
2025-12-11T22:04:02.963150,1,400.0,17.448,6.979,20.04,sfed_attack
2025-12-11T22:04:02.965260,1,400.0,17.696,7.079,20.04,sfed_attack
